;Building Code;Address;Location Name;RangeA;lon;lat;valid_coordinates;in_brooklyn
147;K179;202 AVENUE C;P.S. 179 Kensington;1000;-73.97734279935503;40.64021665;True;True
148;K180;5601 16 AVENUE;The SEEALL Academy;1750;-73.985777;40.586668;True;True
149;K181;1023 NEW YORK AVENUE;P.S. 181 Brooklyn;1250;-73.94584420597164;40.64806245;True;True
150;K183;76 RIVERDALE AVENUE;Riverdale Avenue Middle School;500;-73.91370466995458;40.659933949999996;True;True
151;K184;273 NEWPORT STREET;P.S. 184 Newport;750;-73.90485092423567;40.66025125;True;True
152;K185;8601 RIDGE BOULEVARD;P.S. 185 Walter Kassenbrock;750;-74.0334857285972;40.6236434;True;True
153;K186;7601 19 AVENUE;P.S. 186 Dr. Irving A Gladstone;1000;-73.985777;40.586668;True;True
154;K188;3314 NEPTUNE AVENUE;P.S. 188 Michael E. Berdy;750;-74.0004689;40.5765632;True;True
155;K189;1100 EAST NEW YORK AVENUE;P.S. 189 The Bilingual Center;1250;-73.92572413204178;40.66543125;True;True
156;K190;590 SHEFFIELD AVENUE;P.S. 190 Sheffield;500;-73.89478912216742;40.6622562;True;True
157;K191;1600 PARK PLACE;P.S. 191 Paul Robeson;250;-73.92421081614678;40.6718039;True;True
158;K192;4715 18 AVENUE;P.S. 192 - The Magnet School for Math and Science;750;-73.990414;40.620671;True;True
159;K193;2515 AVENUE L;P.S. 193 Gil Hodges;1000;-73.95016356998714;40.6218511;True;True
160;K194;3117 AVENUE W;P.S. 194 Raoul Wallenberg;500;-73.93430218083148;40.59741655;True;True
161;K195;131 IRWIN STREET;P.S. 195 Manhattan Beach;500;-73.94371330311279;40.58024465;True;True
162;K196;207 BUSHWICK AVENUE;P.S. 196 Ten Eyck;750;-73.93973470119195;40.70878505;True;True
164;K198;4105 FARRAGUT ROAD;P.S. 198 Brooklyn;750;-73.93720706731493;40.6373822;True;True
165;K199;1100 ELM AVENUE;P.S. 199 Frederick Wachtel;750;-73.962916;40.6164933;True;True
166;K200;1940 BENSON AVENUE;P.S. 200 Benson School;1500;-74.0015079;40.603019;True;True
167;K201;8010 12 AVENUE;J.H.S. 201 The Dyker Heights;1500;-73.985777;40.586668;True;True
168;K202;982 HEGEMAN AVENUE;P.S. 202 Ernest S. Jenkyns;750;-73.87654194996011;40.6660538;True;True
169;K203;5101 AVENUE M;P.S. 203 Floyd Bennett School;1000;-73.92592520774168;40.621857250000005;True;True
170;K204;8101 15 AVENUE;P.S. 204 Vince Lombardi;1250;-73.985777;40.586668;True;True
171;K205;6701 20 AVENUE;P.S. 205 Clarion;1250;-73.985026;40.61741;True;True
172;K206;2200 GRAVESEND NECK ROAD;P.S. 206 Joseph F Lamb;1500;-73.94883;40.597332;True;True
173;K207;4011 FILLMORE AVENUE;P.S. 207 Elizabeth G. Leary;1500;-73.9300091604076;40.613770099999996;True;True
174;K208;4801 AVENUE D;P.S. 208 Elsa Ebeling;500;-73.93065448273214;40.642451050000005;True;True
175;K209;2609 EAST  7 STREET;P.S. 209 Margaret Mead;750;-73.99840675488291;40.573526900000005;True;True
176;K210;188 ROCHESTER AVENUE;M.S. K394;750;-73.92835093704754;40.672688;True;True
178;K212;87 BAY  49 STREET;P.S. 212 Lady Deborah Moody;750;-73.9973329;40.6912288;True;True
179;K213;580 HEGEMAN AVENUE;P.S. 213 New Lots;500;-73.8903145;40.6603169;True;True
180;K214;2944 PITKIN AVENUE;P.S. 214 Michael Friedsam;1000;-73.86324331837093;40.67602355;True;True
181;K215;415 AVENUE S;P.S. 215 Morris H. Weiss;1000;-73.9700927;40.6022823;True;True
182;K216;350 AVENUE X;P.S. 216 Arturo Toscanini;750;-73.96992131622429;40.5901611;True;True
183;K217;1100 NEWKIRK AVENUE;P.S. 217 Colonel David Marcus School;1500;-73.9661368234792;40.633545100000006;True;True
184;K218;370 FOUNTAIN AVENUE;The School for Classics: An Academy of Thinkers, W;1250;-73.87436229920041;40.66993855;True;True
185;K219;1060 CLARKSON AVENUE;P.S. 219 Kennedy-King;750;-73.92277531522514;40.6590023;True;True
186;K220;4812 9TH AVENUE;J.H.S. 220 John J. Pershing;1500;-74.00086981531499;40.6408778;True;True
187;K221;791 EMPIRE BOULEVARD;P.S. 221 Toussaint L'Ouverture;500;-73.93605900498228;40.6639193;True;True
188;K222;3301 QUENTIN ROAD;P.S. 222 Katherine R. Snyder;1000;-73.93871503276874;40.6138118;True;True
189;K223;4200 16 AVENUE;Urban Assembly School for Criminal Justice;1750;-73.985777;40.586668;True;True
190;K224;757 WORTMAN AVENUE;P.S. 224 Hale A. Woodruff;750;-73.86591184962316;40.66471765;True;True
191;K225;1075 OCEAN VIEW AVENUE;P.S. K771;1500;-74.0086004;40.5801886;True;True
192;K226;6006 23 AVENUE;P.S. 226 Alfred De B.Mason;1250;-73.985777;40.586668;True;True
193;K227;6500 16 AVENUE;J.H.S. 227 Edward B. Shallow;1500;-73.985777;40.586668;True;True
194;K228;228 AVENUE S;I.S. 228 David A. Boody;1500;-73.97704195981112;40.60077885;True;True
195;K229;1400 BENSON AVENUE;P.S. 229 Dyker;1250;-74.01342549728014;40.61032405;True;True
196;K230;1 ALBEMARLE ROAD;P.S. 230 Doris L. Cohen;1500;-73.98067742131386;40.645508199999995;True;True
197;K232;905 WINTHROP STREET;Middle School of Marketing and Legal Studies;1000;-73.9289335;40.6588889;True;True
198;K233;9301 AVENUE B;P.S. 233 Langston Hughes;750;-73.91393265452892;40.65157225;True;True
200;K235;525 LENOX ROAD;P.S. 235 Lenox School;1500;-73.94069257125902;40.65519715;True;True
201;K236;6302 AVENUE U;P.S. 236 Mill Basin;750;-73.91259079871526;40.615744899999996;True;True
202;K237;50 AVENUE P;The Academy of Talented Scholars;1000;-73.986955;40.6071112;True;True
203;K238;1633 EAST  8 STREET;P.S. 238 Anne Sullivan;750;-73.99845155725134;40.57886645;True;True
204;K239;2401 NEPTUNE AVENUE;Mark Twain I.S. 239 for the Gifted & Talented;1500;-73.99265679719497;40.578664950000004;True;True
205;K240;2500 NOSTRAND AVENUE;Andries Hudde;1000;-73.94680778768401;40.62370525;True;True
206;K241;976 PRESIDENT STREET;P.S. 241 Emma L. Johnston;750;-73.96067121033443;40.66887545;True;True
208;K243;1580 DEAN STREET;P.S. 243K- The Weeksville School;500;-73.93508598148867;40.675760100000005;True;True
209;K244;5404 TILDEN AVENUE;P.S. 244 Richard R. Green;1000;-73.92540106123812;40.64792435;True;True
210;K246;72 VERONICA PLACE;M.S. 246 Walt Whitman;750;-73.9538149298336;40.64836425;True;True
211;K247;7000 21 AVENUE;P.S. 247 Brooklyn;1000;-73.985777;40.586668;True;True
212;K249;18 MARLBOROUGH ROAD;P.S. 249 The Caton;1000;-73.96635026644981;40.649552299999996;True;True
213;K250;108 MONTROSE AVENUE;P.S. 250 George H. Lindsay;1000;-73.94599172000757;40.706751749999995;True;True
215;K252;1084 LENOX ROAD;Middle School for Art and Philosophy;750;-73.9198593;40.6578814;True;True
216;K253;601 OCEANVIEW AVENUE;P.S. 253;1000;-73.96174007104202;40.580178000000004;True;True
217;K254;1801 AVENUE Y;P.S. 254 Dag Hammarskjold;1000;-73.9513840087545;40.59089055;True;True
218;K255;1866 EAST  17 STREET;P.S. 255 Barbara Reing School;1000;-73.9996623;40.6379042;True;True
219;K256;114 KOSCIUSKO STREET;P.S. 256 Benjamin Banneker;500;-73.928642;40.693241;True;True
220;K257;60 COOK STREET;P.S. 257 John F. Hylan;750;-73.9417117992337;40.7028047;True;True
221;K258;141 MACON STREET;P.S. K140;1250;-73.94559669550401;40.68191795;True;True
222;K259;7305 FT HAMILTON PARKWAY;J.H.S. 259 William Mckinley;1750;-74.01481477991291;40.62623455;True;True
223;K260;875 WILLIAMS AVENUE;The Fresh Creek School;500;-73.89437012287902;40.6541424;True;True
224;K261;314 PACIFIC STREET;P.S. 261 Philip Livingston;1000;-73.98866540653384;40.6872177;True;True
225;K262;500 MACON STREET;P.S. 262 El Hajj Malik El Shabazz Elementary Schoo;750;-73.92996973666165;40.68304795;True;True
226;K263;210 CHESTER STREET;P.S./I.S. 323;750;-73.91146393616157;40.66625475;True;True
227;K264;371 89th Street;P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS;500;-74.030011;40.62099971428571;True;True
228;K265;101 PARK AVENUE;Dr. Susan S. McKinney Secondary School of the Arts;750;-73.97608127456422;40.69698295;True;True
229;K268;133 EAST  53 STREET;P.S. 268 Emma Lazarus;500;-74.014034;40.645069;True;True
230;K269;1957 NOSTRAND AVENUE;P.S. 269 Nostrand;500;-73.94786513289867;40.63756565;True;True
231;K270;241 EMERSON PLACE;P.S. 270 Johann DeKalb;750;-73.96096639666527;40.691022399999994;True;True
232;K271;1137 HERKIMER STREET;OCEAN HILL COLLEGIATE CHARTER SCHOOL(BN);1250;-73.91583509530741;40.678231249999996;True;True
233;K272;101-24 SEAVIEW AVENUE;P.S. 272 Curtis Estabrook;750;-73.8629541;40.6555372;True;True
234;K273;923 JEROME STREET;P.S. 273 Wortman;500;-73.87896336738052;40.65831435;True;True
235;K274;800 BUSHWICK AVENUE;P.S. 274 Kosciusko;750;-73.9277629;40.6946213;True;True
236;K275;985 ROCKAWAY AVENUE;Metropolitan Diploma Plus High School;750;-73.9066764;40.6557927;True;True
238;K277;2529 GERRITSEN AVENUE;P.S. 277 Gerritsen Beach;500;-73.92810818874678;40.5959851;True;True
239;K278;1925 STUART STREET;J.H.S. 278 Marine Park;1250;-73.9388683;40.6066177;True;True
241;K281;8787 24 AVENUE;I.S. 281 Joseph B Cavallaro;1250;-73.985777;40.586668;True;True
242;K282;180 6 AVENUE;P.S. 282 Park Slope;1250;-73.97343622099447;40.58794680662984;True;True
243;K284;213 OSBORN STREET;P.S. 284 Lew Wallace;750;-73.90756195105419;40.66695295;True;True
244;K285;5909 BEVERLY ROAD;I.S. 285 Meyer Levin;1000;-73.9489324;40.6451265;True;True
245;K286;2525 HARING STREET;P.S. K811 Connie Lekas School;500;-73.9389975;40.5913896;True;True
246;K287;50 NAVY STREET;P.S. 287 Bailey K. Ashford;250;-73.9809719;40.6978029;True;True
247;K288;2950 WEST  25 STREET;P.S. 288 The Shirley Tanyhill;750;-73.998091;40.660397;True;True
248;K289;900 ST MARKS AVENUE;P.S. 289 George V. Brower;750;-73.94268572563126;40.674224249999995;True;True
249;K290;135 SCHENCK AVENUE;P.S. 290 Juan Morel Campos;750;-73.88948641024123;40.678168150000005;True;True
250;K291;231 PALMETTO STREET;Math, Engineering, and Science Academy Charter Hig;1000;-73.91548106682134;40.69562085;True;True
252;K292;301 VERMONT STREET;UFT ELEMENTARY CHARTER SCHOOL(BROOKLYN) ;750;-73.8936057;40.6713428;True;True
253;K293;284 BALTIC STREET;Success Academy Charter School - Cobble Hill;1000;-73.99329318492642;40.685011450000005;True;True
254;K296;125 COVERT STREET;I.S. 296 - The Anna Gonzalez Community School;500;-73.91033179320195;40.688913400000004;True;True
255;K297;700 PARK AVENUE;P.S. 297 Abraham Stockton;500;-73.94789759704214;40.6974432;True;True
256;K298;85 WATKINS STREET;P.S. 298 Dr. Betty Shabazz;500;-73.9077196558774;40.67102145;True;True
257;K299;88 WOODBINE STREET;P.S. 299 Thomas Warren Field;500;-73.9180532;40.6910367;True;True
258;K302;350 LINWOOD STREET;Vista Academy;1500;-73.8838889;40.6766667;True;True
259;K303;501 WEST AVENUE;I.S. 303 Herbert S. Eisenberg;750;-73.97190877187123;40.5824746;True;True
260;K303;521 WEST AVENUE;Rachel Carson High School for Coastal Studies;1250;-73.97157061224489;40.58211781632653;True;True
261;K304;280 HART STREET;Young Scholars' Academy for Discovery and Explorat;500;-73.94073649598081;40.69375945;True;True
262;K305;344 MONROE STREET;Satellite East Middle School;500;-73.9452714808277;40.68579005;True;True
263;K306;970 VERMONT STREET;P.S. 306 Ethan Allen;750;-73.88629143400516;40.6551941;True;True
264;K307;209 YORK STREET;Satellite West Middle School;750;-73.98165918779881;40.70172445;True;True
265;K308;209 YORK STREET;P.S. 308 Clara Cardwell;500;-73.98165918779881;40.70172445;True;True
266;K308;616 QUINCY STREET;TEACHING FIRMS OF AMERICA PROFESSIONAL PREPARATORY CHARTER SCHOOL(BN);750;-73.93522948328686;40.6882961;True;True
267;K309;794 MONROE STREET;P.S. 309 The George E. Wibecan Preparatory Academy;1000;-73.92437489384153;40.68811325;True;True
268;K310;942 62ND STREET;The School For Future Leaders;500;-74.00756275357476;40.63225145;True;True
